a0,a1,b0,b1,o0,o1,o2,o3,o4,o5,o6,,a,b,o
0,0,0,0,0,0,0,0,0,0,0,,0 + 0j,0 + 0j,0 + 0j
0,0,1,0,1,0,0,0,0,0,0,,0 + 0j,1 + 0j,1 + 0j
0,0,0,1,0,1,0,0,0,0,0,,0 + 0j,-1 + 1j,-1 + 1j
0,0,1,1,1,1,0,0,0,0,0,,0 + 0j,0 + 1j,0 + 1j
1,0,0,0,1,0,0,0,0,0,0,,1 + 0j,0 + 0j,1 + 0j
1,0,1,0,0,0,1,1,0,0,0,,1 + 0j,1 + 0j,2 + 0j
1,0,0,1,1,1,0,0,0,0,0,,1 + 0j,-1 + 1j,0 + 1j
1,0,1,1,0,1,1,1,0,0,0,,1 + 0j,0 + 1j,1 + 1j
0,1,0,0,0,1,0,0,0,0,0,,-1 + 1j,0 + 0j,-1 + 1j
0,1,1,0,1,1,0,0,0,0,0,,-1 + 1j,1 + 0j,0 + 1j
0,1,0,1,0,0,0,1,1,0,0,,-1 + 1j,-1 + 1j,-2 + 2j
0,1,1,1,1,0,0,1,1,0,0,,-1 + 1j,0 + 1j,-1 + 2j
1,1,0,0,1,1,0,0,0,0,0,,0 + 1j,0 + 0j,0 + 1j
1,1,1,0,0,1,1,1,0,0,0,,0 + 1j,1 + 0j,1 + 1j
1,1,0,1,1,0,0,1,1,0,0,,0 + 1j,-1 + 1j,-1 + 2j
1,1,1,1,0,0,1,0,1,1,1,,0 + 1j,0 + 1j,0 + 2j
